,Id,Title,Description,Popularity,Genres,Release Date,Rating,Vote Count,Revenue
0,436270,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",10405.742,"['Action', 'Fantasy', 'Science Fiction']",2022-10-19,7.3,2251,368000000
1,1013860,R.I.P.D. 2: Rise of the Damned,"When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",3827.074,"['Fantasy', 'Action', 'Comedy', 'Crime']",2022-11-15,6.8,181,78324220
2,724495,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",5175.704,"['Action', 'Drama', 'History']",2022-09-15,7.9,538,91000000
3,988233,Hex,"Following a mysterious disappearance on a jump, a group of skydivers experience paranormal occurrences that leave them fighting for their lives.",3347.272,"['Action', 'Horror', 'Thriller']",2022-11-01,4.3,6,0
4,829799,Paradise City,Renegade bounty hunter Ryan Swan must carve his way through the Hawaiian crime world to wreak vengeance on the kingpin who murdered his father.,2263.899,"['Crime', 'Action', 'Thriller']",2022-11-11,6.0,32,0
5,872177,Corrective Measures,"Set in San Tiburon, the world's most dangerous maximum-security penitentiary and home to the world's most treacherous superpowered criminals, where tensions among the inmates and staff heighten, leading to anarchy that engulfs the prison and order is turned upside down.",2100.503,"['Science Fiction', 'Action']",2022-04-29,5.1,33,0
6,862965,Emily the Criminal,"Emily, who is saddled with student debt and locked out of the job market due to a minor criminal record, gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",1675.401,"['Crime', 'Drama', 'Mystery', 'Thriller']",2022-08-12,6.9,214,0
7,934641,The Minute You Wake Up Dead,"A stockbroker in a small southern town gets embroiled in an insurance scam with a next-door neighbor that leads to multiple murders when a host of other people want in on the plot. Sheriff Thurmond Fowler, the by-the-book town sheriff for over four decades, works earnestly to try and unravel the town’s mystery and winds up getting more than he bargained for.",1943.854,"['Thriller', 'Crime']",2022-11-04,4.9,19,0
8,338958,Disenchanted,"Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.",1633.25,"['Comedy', 'Family', 'Fantasy']",2022-11-16,7.3,435,0
9,830784,"Lyle, Lyle, Crocodile","When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",1719.318,"['Comedy', 'Family', 'Music']",2022-10-07,7.7,99,79761937
