,Id,Title,Description,Popularity,Genres,Release Date,Rating,Vote Count,Revenue
0,436270,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",11752.795,"['Action', 'Fantasy', 'Science Fiction']",2022-10-19,7.3,2415,384571691
1,724495,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",5609.046,"['Action', 'Drama', 'History']",2022-09-15,7.9,586,91000000
2,829799,Paradise City,Renegade bounty hunter Ryan Swan must carve his way through the Hawaiian crime world to wreak vengeance on the kingpin who murdered his father.,3133.802,"['Crime', 'Action', 'Thriller']",2022-11-11,6.3,35,0
3,1013860,R.I.P.D. 2: Rise of the Damned,"When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",2911.809,"['Fantasy', 'Action', 'Comedy', 'Crime']",2022-11-15,6.8,194,78324220
4,988233,Hex,"Following a mysterious disappearance on a jump, a group of skydivers experience paranormal occurrences that leave them fighting for their lives.",2469.12,"['Action', 'Horror', 'Thriller']",2022-11-01,4.4,11,0
5,505642,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",2248.449,"['Action', 'Adventure', 'Science Fiction']",2022-11-09,7.5,1180,733000000
6,747803,One Way,"On the run with a bag full of cash after a robbing his former crime boss—and a potentially fatal wound—Freddy slips onto a bus headed into the unrelenting California desert. With his life slipping through his fingers, Freddy is left with very few choices to survive.",1982.746,"['Crime', 'Action', 'Thriller']",2022-09-02,6.1,18,0
7,872177,Corrective Measures,"Set in San Tiburon, the world's most dangerous maximum-security penitentiary and home to the world's most treacherous superpowered criminals, where tensions among the inmates and staff heighten, leading to anarchy that engulfs the prison and order is turned upside down.",1940.324,"['Science Fiction', 'Action']",2022-04-29,5.1,35,0
8,934641,The Minute You Wake Up Dead,"A stockbroker in a small southern town gets embroiled in an insurance scam with a next-door neighbor that leads to multiple murders when a host of other people want in on the plot. Sheriff Thurmond Fowler, the by-the-book town sheriff for over four decades, works earnestly to try and unravel the town’s mystery and winds up getting more than he bargained for.",1924.969,"['Thriller', 'Crime']",2022-11-04,5.0,20,0
9,774752,The Guardians of the Galaxy Holiday Special,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",1916.45,"['Comedy', 'Science Fiction', 'Adventure']",2022-11-25,7.5,559,0
10,830784,"Lyle, Lyle, Crocodile","When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",1710.176,"['Comedy', 'Family', 'Music']",2022-10-07,7.8,122,79761937
11,338958,Disenchanted,"Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.",1610.076,"['Comedy', 'Family', 'Fantasy']",2022-11-16,7.3,471,0
12,882598,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",1596.772,"['Horror', 'Mystery', 'Thriller']",2022-09-23,6.8,1024,214000000
13,972313,Blowback,"When a master thief is sabotaged during a bank heist and left for dead, he seeks revenge on his former crew one target at a time. Now, with the cops and the mob closing in, he's in the race of his life to reclaim an untold fortune in cryptocurrency from those who double-crossed him.",1527.498,"['Action', 'Thriller', 'Crime']",2022-06-17,5.8,20,0
14,899294,Frank and Penelope,A tale of love and violence when a man on his emotional last legs finds a savior seductively dancing in a run-down strip club. And a life most certainly headed off a cliff suddenly becomes redirected - as everything is now worth dying for.,1349.126,"['Thriller', 'Horror', 'Crime']",2022-06-03,7.7,42,0
15,551271,Medieval,The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,1259.809,"['History', 'Action', 'Drama']",2022-09-08,7.2,203,4311284
16,1023803,The Hip Hop Nutcracker,Features Rev Run as he brings audiences on a hip-hop reimagining of The Nutcracker ballet set in NYC.,1116.877,['Music'],2022-11-25,5.0,2,0
17,939210,Blue's Big City Adventure,"When Josh gets the opportunity of a lifetime to audition for Rainbow Puppy’s Broadway musical, Josh and Blue skidoo to NYC for the very first time where they meet new friends and discover the magic of music, dance, and following one’s dreams.",1066.157,"['Family', 'Adventure', 'Music', 'Animation']",2022-11-18,7.5,44,0
18,862965,Emily the Criminal,"Emily, who is saddled with student debt and locked out of the job market due to a minor criminal record, gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",1009.955,"['Crime', 'Drama', 'Mystery', 'Thriller']",2022-08-12,6.9,216,0
19,668461,Slumberland,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",995.74,"['Family', 'Fantasy', 'Adventure', 'Drama']",2022-11-09,7.9,336,0
20,985939,Fall,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",983.768,['Thriller'],2022-08-11,7.3,1815,11900000
21,1018403,Tom and Jerry Snowman's Land,"It’s time to chase that holiday spirit with Tom and Jerry! With magic in the air, Jerry and his nephew, Tuffy, make a snow mouse that miraculously comes to life! To keep their new friend, Larry the snow mouse from melting, Tuffy and Jerry must race him to the fabled Snowman’s Village. In hot pursuit, Tom and devious Dr. Doublevay have their own plans for Larry’s magic.",967.103,"['Family', 'Comedy', 'Animation', 'Adventure']",2022-09-06,8.1,15,0
22,663712,Terrifier 2,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",962.461,"['Horror', 'Thriller']",2022-10-06,7.0,709,10155347
23,338947,Hellraiser,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",958.389,"['Horror', 'Mystery']",2022-09-28,6.5,338,0
